object_id	postal_code	mun_name	neighborhood_name	neighborhood_type	area	with_event	x_centroid	y_centroid
33789	66635	APODACA	FRACC ENRAMADA 2DO SECT	COLONIA	3.63304925757e-06	False	-100.256	25.762
33790	66636	APODACA	FRACC PASEO DE LOS NOGALES	COLONIA	2.8282450461e-05	False	-100.243	25.775
33791	66636	APODACA	FRACC PASEO DE LOS PINOS 2DO SECT	COLONIA	2.7612506309e-06	False	-100.246	25.778
33792	66636	APODACA	FRACC PINOS 2DO SECT	COLONIA	6.33500104728e-06	False	-100.25	25.774
33793	66636	APODACA	FRACC PINOS 3ER SECT	COLONIA	7.37804911871e-06	False	-100.252	25.777
33794	66636	APODACA	FRACC PINOS 4TO SECT	COLONIA	4.24269954802e-06	False	-100.253	25.775
33795	66636	APODACA	FRACC PINOS 5TO SECT	COLONIA	5.56919995717e-06	False	-100.255	25.777
33796	66636	APODACA	FRACC PORTAL DE ANAHUAC	COLONIA	4.10124974906e-06	False	-100.253	25.761
33797	66636	APODACA	HACIENDA LOS PINOS	COLONIA	7.38320025016e-06	False	-100.251	25.771
33798	66636	APODACA	HACIENDA LOS PINOS 2DO SECT	COLONIA	5.81684942909e-06	False	-100.25	25.773
33799	66636	APODACA	JARDINES DE LOS PINOS	COLONIA	2.36460007455e-06	True	-100.247	25.774
33800	66636	APODACA	JARDINES DE LOS PINOS 2DO SECT	COLONIA	4.79845010139e-06	False	-100.247	25.776
33801	66636	APODACA	LOS FRESNOS 10MO SECT	COLONIA	6.65304948488e-06	False	-100.244	25.768
33802	66636	APODACA	LOS FRESNOS 4TO SECT	COLONIA	1.82430994257e-05	False	-100.249	25.767
33803	66636	APODACA	LOS FRESNOS 8VO SECT	COLONIA	5.62440035839e-06	False	-100.243	25.769
33804	66636	APODACA	LOS FRESNOS 9NO SECT	COLONIA	1.27684002476e-05	False	-100.245	25.765
33805	66636	APODACA	LOS FRESNOS NORTE	COLONIA	6.87509885754e-06	False	-100.247	25.77
33806	66636	APODACA	LOS PINOS	COLONIA	5.98820016468e-06	False	-100.249	25.776
33807	66636	APODACA	NUEVO AMANECER 1RA SECC	COLONIA	3.69665984084e-05	False	-100.25	25.78
33808	66636	APODACA	NUEVO AMANECER 2DO SECT	COLONIA	1.9323299255e-05	False	-100.245	25.771
33809	66636	APODACA	PRADERAS DE LA ENRAMADA	COLONIA	1.20028993652e-05	False	-100.252	25.764
33810	66636	APODACA	PRADOS DE LA CIENEGUITA	COLONIA	4.45275976597e-05	False	-100.255	25.782
33811	66636	APODACA	SANTA CECILIA	COLONIA	2.09013015194e-05	True	-100.238	25.773
33812	66636	APODACA	FRACC ARBOLEDAS DEL VIRREY	COLONIA	5.75425061633e-06	False	-100.247	25.767
33813	66636	APODACA	FRACC LA HACIENDA	COLONIA	5.66500073044e-06	False	-100.249	25.763
33814	66636	APODACA	FRACC LA HACIENDA 2DO SECT	COLONIA	2.39141989784e-05	False	-100.248	25.762
33815	66637	APODACA	PARQUE INDUSTRIAL MILIMEX	PARQUE INDUSTRIAL	1.88721990636e-05	False	-100.195	25.753
33816	66640	APODACA	FRACC COLONIAL HUINALA	FRACCIONAMIENTO	7.23944966359e-06	False	-100.163	25.741
33817	66640	APODACA	FRACC JARDINES DE HUINALA	FRACCIONAMIENTO	3.38503004149e-05	False	-100.17	25.742
33818	66640	APODACA	FRACC LOMAS DE HUINALA 2DO SECT	FRACCIONAMIENTO	8.41810130665e-06	False	-100.175	25.734
33819	66640	APODACA	FRACC REFORMA 2DO SECT	FRACCIONAMIENTO	3.12724999716e-06	False	-100.169	25.736
33820	66640	APODACA	HUINALA	FRACCIONAMIENTO	0.000127413347551	True	-100.165	25.748
33821	66640	APODACA	REFORMA 1RA SECC	FRACCIONAMIENTO	8.46885100507e-06	False	-100.172	25.736
33822	66640	APODACA	SAN ANDRES	FRACCIONAMIENTO	2.56123502912e-05	False	-100.174	25.741
33823	66640	APODACA	SAN MIGUEL GOLONDRINAS 3ER SECT	FRACCIONAMIENTO	1.8051499907e-05	False	-100.178	25.731
33824	66640	APODACA	SAN MIGUEL GOLONDRINAS 4TO SECT	FRACCIONAMIENTO	3.2201987764e-06	False	-100.178	25.733
33825	66640	APODACA	ALBERTA ESCAMILLA	FRACCIONAMIENTO	1.18684999646e-05	False	-100.172	25.733
33826	66640	APODACA	FRACC BALCONES DE HUINALA 1ER SECT	FRACCIONAMIENTO	8.44020083129e-06	False	-100.169	25.738
33827	66640	APODACA	FRACC BALCONES DE HUINALA 2DO SECT	FRACCIONAMIENTO	2.03928495459e-05	False	-100.166	25.738
33828	66644	APODACA	VICENTE ELIZONDO TREVIÃO	COLONIA	4.88660012409e-06	False	-100.164	25.736
33829	66644	APODACA	VILLAS DE SAN CARLOS 1ER SECT	COLONIA	2.48161511503e-05	True	-100.159	25.738
