,source,target,weight
1280,33763,33931,1
1281,33763,34166,1
1282,33763,34180,1
1283,33763,34363,1
1284,33763,34719,1
1285,33763,34747,1
1286,33763,34961,1
1287,33763,34992,1
1288,33763,35062,1
1289,33763,35116,1
1290,33763,35152,1
1291,33763,35300,1
1292,33763,35404,1
1293,33763,35412,1
1294,33771,33901,2
1295,33771,33953,1
1296,33771,34043,1
1297,33771,34065,1
1298,33771,34097,1
1299,33771,34138,1
1300,33771,34270,1
1301,33771,34725,1
1302,33771,34955,2
1303,33771,35102,1
1304,33771,35145,1
1305,33771,35169,1
1306,33771,35236,1
1307,33771,35404,1
1308,33771,35416,1
1309,33771,35454,1
1310,33771,36462,1
1311,33772,33849,1
1312,33772,33901,1
1313,33772,33923,1
1314,33772,33930,1
1315,33772,33933,1
1316,33772,34171,1
1317,33772,34196,1
1318,33772,34697,1
1319,33772,34779,1
1320,33772,34955,1
1321,33772,35102,1
1322,33772,35159,1
1323,33772,35175,1
1324,33772,35245,1
1325,33772,35259,1
1326,33772,35369,1
1327,33772,35376,1
1328,33772,35546,1
1329,33772,35733,1
1330,33774,33862,1
1331,33774,33949,1
1332,33774,33965,1
1333,33774,34177,1
1334,33774,34181,1
1335,33774,34212,1
1336,33774,34357,1
1337,33774,34512,1
1338,33774,34664,1
1339,33774,34720,1
1340,33774,34786,1
1341,33774,34887,1
1342,33774,34955,1
1343,33774,35074,1
1344,33774,35125,1
1345,33774,35213,1
1346,33774,35246,1
1347,33774,35376,1
1348,33774,35404,1
1349,33774,35410,1
1350,33774,35625,1
1351,33774,35974,1
1352,33774,35976,1
1353,33774,36049,1
1354,33774,36362,1
1355,33778,34138,1
1356,33778,34263,1
1357,33778,34391,1
1358,33778,34461,1
