,source,target,week_id,week_date
695,33651,34648,6,2011-02-13
696,33651,34681,6,2011-02-13
697,33651,35009,6,2011-02-13
698,33651,35050,6,2011-02-13
699,33651,35377,6,2011-02-13
700,33651,35393,6,2011-02-13
701,33651,35716,6,2011-02-13
702,33901,34287,6,2011-02-13
703,33901,34648,6,2011-02-13
704,33901,34681,6,2011-02-13
705,33901,35009,6,2011-02-13
706,33901,35050,6,2011-02-13
707,33901,35377,6,2011-02-13
708,33901,35393,6,2011-02-13
709,33901,35716,6,2011-02-13
710,34287,34308,6,2011-02-13
711,34287,34353,6,2011-02-13
712,34287,34600,6,2011-02-13
713,34287,34607,6,2011-02-13
714,34287,34750,6,2011-02-13
715,34287,34955,6,2011-02-13
716,34287,35068,6,2011-02-13
717,34287,35264,6,2011-02-13
718,34287,35478,6,2011-02-13
719,34287,35532,6,2011-02-13
720,34308,34648,6,2011-02-13
721,34308,34681,6,2011-02-13
722,34308,35009,6,2011-02-13
723,34308,35050,6,2011-02-13
724,34308,35377,6,2011-02-13
725,34308,35393,6,2011-02-13
726,34308,35716,6,2011-02-13
727,34353,34648,6,2011-02-13
728,34353,34681,6,2011-02-13
729,34353,35009,6,2011-02-13
730,34353,35050,6,2011-02-13
731,34353,35377,6,2011-02-13
732,34353,35393,6,2011-02-13
733,34353,35716,6,2011-02-13
734,34600,34648,6,2011-02-13
735,34600,34681,6,2011-02-13
736,34600,35009,6,2011-02-13
737,34600,35050,6,2011-02-13
738,34600,35377,6,2011-02-13
739,34600,35393,6,2011-02-13
740,34600,35716,6,2011-02-13
741,34607,34648,6,2011-02-13
742,34607,34681,6,2011-02-13
743,34607,35009,6,2011-02-13
744,34607,35050,6,2011-02-13
745,34607,35377,6,2011-02-13
746,34607,35393,6,2011-02-13
747,34607,35716,6,2011-02-13
748,34648,34750,6,2011-02-13
749,34648,34955,6,2011-02-13
750,34648,35068,6,2011-02-13
751,34648,35264,6,2011-02-13
752,34648,35478,6,2011-02-13
753,34648,35532,6,2011-02-13
754,34681,34750,6,2011-02-13
755,34681,34955,6,2011-02-13
756,34681,35068,6,2011-02-13
757,34681,35264,6,2011-02-13
758,34681,35478,6,2011-02-13
759,34681,35532,6,2011-02-13
760,34750,35009,6,2011-02-13
761,34750,35050,6,2011-02-13
762,34750,35377,6,2011-02-13
763,34750,35393,6,2011-02-13
764,34750,35716,6,2011-02-13
765,34955,35009,6,2011-02-13
766,34955,35050,6,2011-02-13
767,34955,35377,6,2011-02-13
768,34955,35393,6,2011-02-13
769,34955,35716,6,2011-02-13
770,35009,35068,6,2011-02-13
771,35009,35264,6,2011-02-13
772,35009,35478,6,2011-02-13
773,35009,35532,6,2011-02-13
774,35050,35068,6,2011-02-13
